Type,Value,Cost,INSTOCK
"1%, 1/4W",9.1,$0.10 ,TRUE
"1%, 1/4W",10,$0.10 ,TRUE
"1%, 1/4W",10.5,$0.10 ,TRUE
"1%, 1/4W",10.7,$0.10 ,TRUE
"1%, 1/4W",14.3,$0.10 ,TRUE
"1%, 1/4W",14.7,$0.10 ,TRUE
"1%, 1/4W",16.5,$0.10 ,TRUE
"1%, 1/4W",19.1,$0.10 ,TRUE
"1%, 1/4W",20,$0.10 ,TRUE
"1%, 1/4W",21,$0.10 ,TRUE
"1%, 1/4W",24.9,$0.10 ,TRUE
"1%, 1/4W",27.4,$0.10 ,TRUE
"1%, 1/4W",28.7,$0.10 ,TRUE
"1%, 1/4W",29.4,$0.10 ,TRUE
"1%, 1/4W",30.1,$0.10 ,TRUE
"1%, 1/4W",34.8,$0.10 ,TRUE
"1%, 1/4W",36.5,$0.10 ,TRUE
"1%, 1/4W",40.2,$0.10 ,TRUE
"1%, 1/4W",41.2,$0.10 ,TRUE
"1%, 1/4W",47,$0.10 ,TRUE
"1%, 1/4W",47.5,$0.10 ,TRUE
"1%, 1/4W",48.7,$0.10 ,TRUE
"1%, 1/4W",49.9,$0.10 ,TRUE
"1%, 1/4W",51.1,$0.10 ,TRUE
"1%, 1/4W",57.6,$0.10 ,TRUE
"1%, 1/4W",59,$0.10 ,TRUE
"1%, 1/4W",63,$0.10 ,TRUE
"1%, 1/4W",64.9,$0.10 ,TRUE
"1%, 1/4W",68.1,$0.10 ,TRUE
"1%, 1/4W",71.5,$0.10 ,TRUE
"1%, 1/4W",73.2,$0.10 ,TRUE
"1%, 1/4W",75,$0.10 ,TRUE
"1%, 1/4W",76.8,$0.10 ,TRUE
"1%, 1/4W",82.5,$0.10 ,TRUE
"1%, 1/4W",95.3,$0.10 ,TRUE
"1%, 1/4W",100,$0.10 ,TRUE
"1%, 1/4W",105,$0.10 ,TRUE
"1%, 1/4W",107,$0.10 ,TRUE
"1%, 1/4W",110,$0.10 ,TRUE
"1%, 1/4W",150,$0.10 ,TRUE
"1%, 1/4W",158,$0.10 ,TRUE
"1%, 1/4W",174,$0.10 ,TRUE
"1%, 1/4W",180,$0.10 ,TRUE
"1%, 1/4W",205,$0.10 ,TRUE
"1%, 1/4W",210,$0.10 ,TRUE
"1%, 1/4W",215,$0.10 ,TRUE
"1%, 1/4W",220,$0.10 ,TRUE
"1%, 1/4W",237,$0.10 ,TRUE
"1%, 1/4W",243,$0.10 ,TRUE
"1%, 1/4W",249,$0.10 ,TRUE
"1%, 1/4W",255,$0.10 ,TRUE
"1%, 1/4W",261,$0.10 ,TRUE
"1%, 1/4W",280,$0.10 ,TRUE
"1%, 1/4W",294,$0.10 ,TRUE
"1%, 1/4W",324,$0.10 ,TRUE
"1%, 1/4W",332,$0.10 ,TRUE
"1%, 1/4W",340,$0.10 ,TRUE
"1%, 1/4W",357,$0.10 ,TRUE
"1%, 1/4W",392,$0.10 ,TRUE
"1%, 1/4W",402,$0.10 ,TRUE
"1%, 1/4W",432,$0.10 ,TRUE
"1%, 1/4W",464,$0.10 ,TRUE
"1%, 1/4W",475,$0.10 ,TRUE
"1%, 1/4W",487,$0.10 ,TRUE
"1%, 1/4W",499,$0.10 ,TRUE
"1%, 1/4W",511,$0.10 ,TRUE
"1%, 1/4W",549,$0.10 ,TRUE
"1%, 1/4W",562,$0.10 ,TRUE
"1%, 1/4W",590,$0.10 ,TRUE
"1%, 1/4W",619,$0.10 ,TRUE
"1%, 1/4W",665,$0.10 ,TRUE
"1%, 1/4W",768,$0.10 ,TRUE
"1%, 1/4W",806,$0.10 ,TRUE
"1%, 1/4W",845,$0.10 ,TRUE
"1%, 1/4W",866,$0.10 ,TRUE
"1%, 1/4W",909,$0.10 ,TRUE
"1%, 1/4W",931,$0.10 ,TRUE
"1%, 1/4W",951,$0.10 ,TRUE
"1%, 1/4W",976,$0.10 ,TRUE
"1%, 1/4W",806,$0.10 ,TRUE
"1%, 1/4W",845,$0.10 ,TRUE
"1%, 1/4W",866,$0.10 ,TRUE
"1%, 1/4W",909,$0.10 ,TRUE
"1%, 1/4W",931,$0.10 ,TRUE
"1%, 1/4W",951,$0.10 ,TRUE
"1%, 1/4W",976,$0.10 ,TRUE
"1%, 1/4W",1.00k,$0.10 ,TRUE
"1%, 1/4W",1.02k,$0.10 ,TRUE
"1%, 1/4W",1.13k,$0.10 ,TRUE
"1%, 1/4W",1.21k,$0.10 ,TRUE
"1%, 1/4W",1.27k,$0.10 ,TRUE
"1%, 1/4W",1.30k,$0.10 ,TRUE
"1%, 1/4W",1.37k,$0.10 ,TRUE
"1%, 1/4W",1.43k,$0.10 ,TRUE
"1%, 1/4W",1.50k,$0.10 ,TRUE
"1%, 1/4W",1.54k,$0.10 ,TRUE
"1%, 1/4W",1.58k,$0.10 ,TRUE
"1%, 1/4W",1.62k,$0.10 ,TRUE
"1%, 1/4W",1.65k,$0.10 ,TRUE
"1%, 1/4W",1.69k,$0.10 ,TRUE
"1%, 1/4W",1.78k,$0.10 ,TRUE
"1%, 1/4W",1.82k,$0.10 ,TRUE
"1%, 1/4W",1.91k,$0.10 ,TRUE
"1%, 1/4W",2.00k,$0.10 ,TRUE
"1%, 1/4W",2.05k,$0.10 ,TRUE
"1%, 1/4W",2.15k,$0.10 ,TRUE
"1%, 1/4W",2.21k,$0.10 ,TRUE
"1%, 1/4W",2.32k,$0.10 ,TRUE
"1%, 1/4W",2.43k,$0.10 ,TRUE
"1%, 1/4W",2.55k,$0.10 ,TRUE
"1%, 1/4W",2.60k,$0.10 ,TRUE
"1%, 1/4W",2.67k,$0.10 ,TRUE
"1%, 1/4W",2.7k,$0.10 ,TRUE
"1%, 1/4W",2.74k,$0.10 ,TRUE
"1%, 1/4W",2.87k,$0.10 ,TRUE
"1%, 1/4W",2.94k,$0.10 ,TRUE
"1%, 1/4W",3.01k,$0.10 ,TRUE
"1%, 1/4W",3.24k,$0.10 ,TRUE
"1%, 1/4W",3.32k,$0.10 ,TRUE
"1%, 1/4W",3.65k,$0.10 ,TRUE
"1%, 1/4W",3.92k,$0.10 ,TRUE
"1%, 1/4W",4.02k,$0.10 ,TRUE
"1%, 1/4W",4.22k,$0.10 ,TRUE
"1%, 1/4W",4.99k,$0.10 ,TRUE
"1%, 1/4W",5.11k,$0.10 ,TRUE
"1%, 1/4W",5.62k,$0.10 ,TRUE
"1%, 1/4W",5.76k,$0.10 ,TRUE
"1%, 1/4W",5.81k,$0.10 ,TRUE
"1%, 1/4W",5.90k,$0.10 ,TRUE
"1%, 1/4W",6.04k,$0.10 ,TRUE
"1%, 1/4W",6.19k,$0.10 ,TRUE
"1%, 1/4W",6.65k,$0.10 ,TRUE
"1%, 1/4W",6.81k,$0.10 ,TRUE
"1%, 1/4W",6.98k,$0.10 ,TRUE
"1%, 1/4W",7.50k,$0.10 ,TRUE
"1%, 1/4W",7.68k,$0.10 ,TRUE
"1%, 1/4W",8.06k,$0.10 ,TRUE
"1%, 1/4W",8.45k,$0.10 ,TRUE
"1%, 1/4W",9.09k,$0.10 ,TRUE
"1%, 1/4W",9.53k,$0.10 ,TRUE
"1%, 1/4W",9.76k,$0.10 ,TRUE
"1%, 1/4W",10.0k,$0.10 ,TRUE
"1%, 1/4W",10.5k,$0.10 ,TRUE
"1%, 1/4W",10.7k,$0.10 ,TRUE
"1%, 1/4W",11.0k,$0.10 ,TRUE
"1%, 1/4W",11.3k,$0.10 ,TRUE
"1%, 1/4W",11.5k,$0.10 ,TRUE
"1%, 1/4W",11.8k,$0.10 ,TRUE
"1%, 1/4W",12.0k,$0.10 ,TRUE
"1%, 1/4W",12.1k,$0.10 ,TRUE
"1%, 1/4W",12.4k,$0.10 ,TRUE
"1%, 1/4W",12.7k,$0.10 ,TRUE
"1%, 1/4W",13.0k,$0.10 ,TRUE
"1%, 1/4W",13.7k,$0.10 ,TRUE
"1%, 1/4W",14.3k,$0.10 ,TRUE
"1%, 1/4W",14.7k,$0.10 ,TRUE
"1%, 1/4W",15.0k,$0.10 ,TRUE
"1%, 1/4W",16.2k,$0.10 ,TRUE
"1%, 1/4W",16.5k,$0.10 ,TRUE
"1%, 1/4W",16.9k,$0.10 ,TRUE
"1%, 1/4W",17.4k,$0.10 ,TRUE
"1%, 1/4W",17.8k,$0.10 ,TRUE
"1%, 1/4W",18.2k,$0.10 ,TRUE
"1%, 1/4W",18.7k,$0.10 ,TRUE
"1%, 1/4W",20.0k,$0.10 ,TRUE
"1%, 1/4W",20.5k,$0.10 ,TRUE
"1%, 1/4W",21.5k,$0.10 ,TRUE
"1%, 1/4W",22.1k,$0.10 ,TRUE
"1%, 1/4W",22.6k,$0.10 ,TRUE
"1%, 1/4W",23.2k,$0.10 ,TRUE
"1%, 1/4W",24.0k,$0.10 ,TRUE
"1%, 1/4W",24.3k,$0.10 ,TRUE
"1%, 1/4W",24.9k,$0.10 ,TRUE
"1%, 1/4W",25.5k,$0.10 ,TRUE
"1%, 1/4W",26.1k,$0.10 ,TRUE
"1%, 1/4W",26.7k,$0.10 ,TRUE
"1%, 1/4W",27.4k,$0.10 ,TRUE
"1%, 1/4W",28.7k,$0.10 ,TRUE
"1%, 1/4W",30.1k,$0.10 ,TRUE
"1%, 1/4W",30.9k,$0.10 ,TRUE
"1%, 1/4W",33.2k,$0.10 ,TRUE
"1%, 1/4W",34.8k,$0.10 ,TRUE
"1%, 1/4W",36.0k,$0.10 ,TRUE
"1%, 1/4W",36.5k,$0.10 ,TRUE
"1%, 1/4W",37.0k,$0.10 ,TRUE
"1%, 1/4W",37.4k,$0.10 ,TRUE
"1%, 1/4W",38.3k,$0.10 ,TRUE
"1%, 1/4W",40.2k,$0.10 ,TRUE
"1%, 1/4W",41.2k,$0.10 ,TRUE
"1%, 1/4W",43.2k,$0.10 ,TRUE
"1%, 1/4W",46.4k,$0.10 ,TRUE
"1%, 1/4W",47.5k,$0.10 ,TRUE
"1%, 1/4W",49.9k,$0.10 ,TRUE
"1%, 1/4W",52.3k,$0.10 ,TRUE
"1%, 1/4W",53.6k,$0.10 ,TRUE
"1%, 1/4W",56.2k,$0.10 ,TRUE
"1%, 1/4W",59.0k,$0.10 ,TRUE
"1%, 1/4W",61.9k,$0.10 ,TRUE
"1%, 1/4W",63.4k,$0.10 ,TRUE
"1%, 1/4W",68.1k,$0.10 ,TRUE
"1%, 1/4W",69.8k,$0.10 ,TRUE
"1%, 1/4W",73.2k,$0.10 ,TRUE
"1%, 1/4W",75.0k,$0.10 ,TRUE
"1%, 1/4W",76.8k,$0.10 ,TRUE
"1%, 1/4W",80.6k,$0.10 ,TRUE
"1%, 1/4W",82.5k,$0.10 ,TRUE
"1%, 1/4W",90.9k,$0.10 ,TRUE
"1%, 1/4W",95.3k,$0.10 ,TRUE
"1%, 1/4W",100k,$0.10 ,TRUE
"1%, 1/4W",105k,$0.10 ,TRUE
"1%, 1/4W",109k,$0.10 ,TRUE
"1%, 1/4W",110k,$0.10 ,TRUE
"1%, 1/4W",121k,$0.10 ,TRUE
"1%, 1/4W",127k,$0.10 ,TRUE
"1%, 1/4W",133k,$0.10 ,TRUE
"1%, 1/4W",140k,$0.10 ,TRUE
"1%, 1/4W",158k,$0.10 ,TRUE
"1%, 1/4W",160k,$0.10 ,TRUE
"1%, 1/4W",162k,$0.10 ,TRUE
"1%, 1/4W",165k,$0.10 ,TRUE
"1%, 1/4W",178k,$0.10 ,TRUE
"1%, 1/4W",182k,$0.10 ,TRUE
"1%, 1/4W",187k,$0.10 ,TRUE
"1%, 1/4W",210k,$0.10 ,TRUE
"1%, 1/4W",220k,$0.10 ,TRUE
"1%, 1/4W",221k,$0.10 ,TRUE
"1%, 1/4W",226k,$0.10 ,TRUE
"1%, 1/4W",274k,$0.10 ,TRUE
"1%, 1/4W",294k,$0.10 ,TRUE
"1%, 1/4W",301k,$0.10 ,TRUE
"1%, 1/4W",316k,$0.10 ,TRUE
"1%, 1/4W",332k,$0.10 ,TRUE
"1%, 1/4W",340k,$0.10 ,TRUE
"1%, 1/4W",357k,$0.10 ,TRUE
"1%, 1/4W",365k,$0.10 ,TRUE
"1%, 1/4W",402k,$0.10 ,TRUE
"1%, 1/4W",432k,$0.10 ,TRUE
"1%, 1/4W",487k,$0.10 ,TRUE
"1%, 1/4W",499k,$0.10 ,TRUE
"1%, 1/4W",523k,$0.10 ,TRUE
"1%, 1/4W",536k,$0.10 ,TRUE
"1%, 1/4W",619k,$0.10 ,TRUE
"1%, 1/4W",649k,$0.10 ,TRUE
"1%, 1/4W",768k,$0.10 ,TRUE
"1%, 1/4W",787k,$0.10 ,TRUE
"1%, 1/4W",825k,$0.10 ,TRUE
"1%, 1/4W",316k,$0.10 ,TRUE
"1%, 1/4W",332k,$0.10 ,TRUE
"1%, 1/4W",340k,$0.10 ,TRUE
"1%, 1/4W",357k,$0.10 ,TRUE
"1%, 1/4W",365k,$0.10 ,TRUE
"1%, 1/4W",402k,$0.10 ,TRUE
"1%, 1/4W",432k,$0.10 ,TRUE
"1%, 1/4W",487k,$0.10 ,TRUE
"1%, 1/4W",499k,$0.10 ,TRUE
"1%, 1/4W",523k,$0.10 ,TRUE
"1%, 1/4W",536k,$0.10 ,TRUE
"1%, 1/4W",619k,$0.10 ,TRUE
"1%, 1/4W",649k,$0.10 ,TRUE
"1%, 1/4W",768k,$0.10 ,TRUE
"1%, 1/4W",787k,$0.10 ,TRUE
"1%, 1/4W",825k,$0.10 ,TRUE
"1%, 1/4W",1.00M,$0.10 ,TRUE
"1%, 1/4W",1.33M,$0.10 ,TRUE
"1%, 1/4W",1.5M,$0.10 ,TRUE
"1%, 1/4W",2.2M,$0.10 ,TRUE
"5%, 1/4W",1,$0.10 ,TRUE
"5%, 1/4W",1.1,$0.10 ,TRUE
"5%, 1/4W",1.2,$0.10 ,TRUE
"5%, 1/4W",1.3,$0.10 ,TRUE
"5%, 1/4W",1.5,$0.10 ,TRUE
"5%, 1/4W",1.6,$0.10 ,TRUE
"5%, 1/4W",1.8,$0.10 ,TRUE
"5%, 1/4W",2,$0.10 ,TRUE
"5%, 1/4W",2.2,$0.10 ,TRUE
"5%, 1/4W",2.4,$0.10 ,TRUE
"5%, 1/4W",2.7,$0.10 ,TRUE
"5%, 1/4W",3,$0.10 ,TRUE
"5%, 1/4W",3.3,$0.10 ,TRUE
"5%, 1/4W",3.6,$0.10 ,TRUE
"5%, 1/4W",3.9,$0.10 ,TRUE
"5%, 1/4W",4.3,$0.10 ,TRUE
"5%, 1/4W",4.7,$0.10 ,TRUE
"5%, 1/4W",5.1,$0.10 ,TRUE
"5%, 1/4W",5.6,$0.10 ,TRUE
"5%, 1/4W",6.2,$0.10 ,TRUE
"5%, 1/4W",6.8,$0.10 ,TRUE
"5%, 1/4W",7.5,$0.10 ,TRUE
"5%, 1/4W",8.2,$0.10 ,TRUE
"5%, 1/4W",9.1,$0.10 ,TRUE
"5%, 1/4W",10,$0.10 ,TRUE
"5%, 1/4W",11,$0.10 ,TRUE
"5%, 1/4W",12,$0.10 ,TRUE
"5%, 1/4W",13,$0.10 ,TRUE
"5%, 1/4W",15,$0.10 ,TRUE
"5%, 1/4W",16,$0.10 ,TRUE
"5%, 1/4W",18,$0.10 ,TRUE
"5%, 1/4W",20,$0.10 ,TRUE
"5%, 1/4W",22,$0.10 ,TRUE
"5%, 1/4W",24,$0.10 ,TRUE
"5%, 1/4W",27,$0.10 ,TRUE
"5%, 1/4W",30,$0.10 ,TRUE
"5%, 1/4W",33,$0.10 ,TRUE
"5%, 1/4W",36,$0.10 ,TRUE
"5%, 1/4W",39,$0.10 ,TRUE
"5%, 1/4W",43,$0.10 ,TRUE
"5%, 1/4W",47,$0.10 ,TRUE
"5%, 1/4W",51,$0.10 ,TRUE
"5%, 1/4W",56,$0.10 ,TRUE
"5%, 1/4W",62,$0.10 ,TRUE
"5%, 1/4W",68,$0.10 ,TRUE
"5%, 1/4W",75,$0.10 ,TRUE
"5%, 1/4W",82,$0.10 ,TRUE
"5%, 1/4W",91,$0.10 ,TRUE
"5%, 1/4W",100,$0.10 ,TRUE
"5%, 1/4W",110,$0.10 ,TRUE
"5%, 1/4W",120,$0.10 ,TRUE
"5%, 1/4W",130,$0.10 ,TRUE
"5%, 1/4W",150,$0.10 ,TRUE
"5%, 1/4W",160,$0.10 ,TRUE
"5%, 1/4W",180,$0.10 ,TRUE
"5%, 1/4W",200,$0.10 ,TRUE
"5%, 1/4W",220,$0.10 ,TRUE
"5%, 1/4W",240,$0.10 ,TRUE
"5%, 1/4W",270,$0.10 ,TRUE
"5%, 1/4W",300,$0.10 ,TRUE
"5%, 1/4W",330,$0.10 ,TRUE
"5%, 1/4W",360,$0.10 ,TRUE
"5%, 1/4W",390,$0.10 ,TRUE
"5%, 1/4W",430,$0.10 ,TRUE
"5%, 1/4W",470,$0.10 ,TRUE
"5%, 1/4W",510,$0.10 ,TRUE
"5%, 1/4W",560,$0.10 ,TRUE
"5%, 1/4W",620,$0.10 ,TRUE
"5%, 1/4W",680,$0.10 ,TRUE
"5%, 1/4W",750,$0.10 ,TRUE
"5%, 1/4W",820,$0.10 ,TRUE
"5%, 1/4W",910,$0.10 ,TRUE
"5%, 1/4W",1.0k,$0.10 ,TRUE
"5%, 1/4W",1.1k,$0.10 ,TRUE
"5%, 1/4W",1.2k,$0.10 ,TRUE
"5%, 1/4W",1.3k,$0.10 ,TRUE
"5%, 1/4W",1.5k,$0.10 ,TRUE
"5%, 1/4W",1.6k,$0.10 ,TRUE
"5%, 1/4W",1.8k,$0.10 ,TRUE
"5%, 1/4W",2.0k,$0.10 ,TRUE
"5%, 1/4W",2.2k,$0.10 ,TRUE
"5%, 1/4W",2.4k,$0.10 ,TRUE
"5%, 1/4W",2.7k,$0.10 ,TRUE
"5%, 1/4W",3.0k,$0.10 ,TRUE
"5%, 1/4W",3.3k,$0.10 ,TRUE
"5%, 1/4W",3.6k,$0.10 ,TRUE
"5%, 1/4W",3.9k,$0.10 ,TRUE
"5%, 1/4W",4.3k,$0.10 ,TRUE
"5%, 1/4W",4.7k,$0.10 ,TRUE
"5%, 1/4W",5.1k,$0.10 ,TRUE
"5%, 1/4W",5.6k,$0.10 ,TRUE
"5%, 1/4W",6.2k,$0.10 ,TRUE
"5%, 1/4W",6.8k,$0.10 ,TRUE
"5%, 1/4W",7.5k,$0.10 ,TRUE
"5%, 1/4W",8.2k,$0.10 ,TRUE
"5%, 1/4W",9.1k,$0.10 ,TRUE
"5%, 1/4W",10k,$0.10 ,TRUE
"5%, 1/4W",11k,$0.10 ,TRUE
"5%, 1/4W",12k,$0.10 ,TRUE
"5%, 1/4W",13k,$0.10 ,TRUE
